FP5now FP_length5 FP3now FP_length3 control_Reads control_length
0 0 1 93 608 750
0 0 1 81 91 474
0 0 1 93 827 2112
0 0 1 75 37 156
0 0 1 84 456 1326
0 0 1 84 88 435
0 0 1 93 427 669
0 0 1 81 62 489
0 0 1 90 327 774
0 0 1 78 5 261
0 0 1 135 43 564
0 0 1 75 486 615
1 93 0 0 29 291
0 0 1 93 71 627
0 0 1 75 39 246
0 0 1 78 886 1911
0 0 1 75 125 1071
0 0 1 87 22 654
0 0 1 75 167 498
0 0 1 81 624 1494
0 0 1 96 878 1185
0 0 1 90 260 480
1 120 0 0 181 1440
0 0 2 132 126 1230
0 0 1 165 17 648
0 0 1 81 96 969
0 0 1 93 40 399
1 171 0 0 22 348
0 0 1 81 282 669
0 0 1 75 361 1722
1 144 0 0 82 801
1 78 0 0 278 1263
0 0 1 93 32 357
0 0 1 75 2 297
0 0 1 78 535 474
0 0 1 75 348 477
0 0 1 78 69 444
0 0 1 90 713 762
0 0 1 90 327 2073
0 0 1 87 122 567
