idr animal length eff_length est_counts tpm coding main coding_ali main_ali fs pnps nd_pnps N_pnps sd_pnps S_pnps w dN N dS S 5refsp 5sp 10refsp 10sp 20refsp 20sp 5 10 20
octo_c19220_g1_i1 octo 637 471.211 411 436.987 7,322,323,557 7,322 7,322,323,557 7,322 1 0.09922179783083832 35.666666666666664 432.4999999999998 94.33333333333333 113.50000000000024 0.0363 0.0748 406.98 2.061 139.02 0 0.0 0 0.6656655082734381 0 0.7538708535398065 0.6798519401438976 0.6917978927874594 0.7333044634962416
harp_c35991_g2_i1 harp 579 395.936 488 3615.92 0,546 0,546 7,554 7,554 0 0.09922179783083832 35.666666666666664 432.4999999999998 94.33333333333333 113.50000000000024 0.0363 0.0748 406.98 2.061 139.02 0 0.738693459193244 0 0.7114969881517613 0 0.7350637079327441 0.6554449973928841 0.6566236726236487 0.688998064273224
octo_c23371_g1_i1 octo 877 711.211 43430 30593.8 18,831 18,831 24,842 24,842 0 0.23354029532818726 86.16666666666667 636.5 98.83333333333336 170.49999999999997 0.1452 0.1396 601.53 0.9615 205.47 1 0.7528757602314695 1 0.7195428217066362 1 0.7219609002328841 0.7923250051279456 0.8000240552246173 0.8180272853541456
foca_c30849_g1_i1 foca 874 708.417 5805 2054.36 20,827 20,827 40,848 40,848 0 0.14985848353940107 64.0 639.3333333333335 111.99999999999999 167.66666666666657 0.0866 0.0953 601.53 1.1003 205.47 0 0.7752909173878174 0 0.7744915520377175 0 0.7785610673115014 0.8392792052142313 0.8474185787896951 0.8640768043355108
cras_c3120_g1_i1 cras 888 839 8445 2446.04 35,842 35,842 40,848 40,848 0 0.20661043963632914 77.83333333333333 638.8333333333335 99.16666666666667 168.16666666666654 0.14 0.1253 601.53 0.8953 205.47 0 0.8127288873270313 1 0.8216754800377934 1 0.835244919915047 0.83050893209421 0.8389816491905658 0.8538828920245246
minu_c12482_g1_i1 minu 896 707.91 11317 2804.3 20,827 20,827 40,848 40,848 0 0.18090512646574278 68.83333333333334 637.5 101.16666666666667 169.49999999999994 0.1233 0.1094 601.53 0.8873 205.47 0 0.8438931174510926 1 0.8555162088365711 1 0.853728645558188 0.8425606883586081 0.8499212568145436 0.8611064402371933
eury_eury_c24571_g1_i1 eury 885 726.051 10746 6315.61 27,840 27,840 34,848 34,848 0 0.23354029532818726 86.16666666666667 636.5 98.83333333333336 170.49999999999997 0.1452 0.1396 601.53 0.9615 205.47 0 0.757797360523737 0 0.7916065208580773 1 0.8124063532132394 0.806808876741138 0.8105559074956805 0.8225822090809398
rari_c9664_g1_i1 rari 865 665.048 17643 8355.84 39,846 39,846 40,848 40,848 0 0.20460524624441895 70.5 637.6666666666667 91.5 169.33333333333323 0.1486 0.1123 601.53 0.7557 205.47 0 0.7502270358156182 1 0.758055643692301 1 0.7813097744577691 0.8265894932921831 0.8293793625514746 0.8392038194959901
petz_comp28635_c0_seq1 petz     0,1440 0,1440 15,1464 15,1464 0 0.142392996097527 142.50000000000003 1156.3333333333337 245.49999999999997 283.66666666666634 0.0143 0.1211 1073.36 8.4396 366.64       0.6821094918238966 0.6863987926941786 0.713247091656785
octo_c47106_g1_i1 octo 1475 1309.21 4014 1536.07 1,1453 1,1453 10,1471 10,1471 0 0.14239299609752706 142.50000000000003 1156.3333333333335 245.49999999999997 283.6666666666664 0.0143 0.1211 1073.36 8.4402 366.64 0 0.0 0 0.608848896774131 0 0.6573492516616725 0.6609806247159276 0.6694635994653637 0.7027578426297689
rari_c13940_g1_i1 rari 1492 1292.05 4306 1049.7 9,1437 9,1437 24,1464 24,1464 0 0.10600175603077502 119.0 1148.666666666667 273.0 279.333333333333 0.0065 0.0915 1064.41 14.1188 363.59 0 0.6128009308874616 0 0.617765241901627 0 0.6527301911382355 0.6751258380004851 0.6745915431691032 0.6996084931080042
eury_eury_c7462_g1_i1 eury 1493 1334.05 2967 949.031 76,1462 76,1462 76,1464 76,1464 0 0.09604982013630693 96.83333333333333 1111.333333333334 249.16666666666666 274.66666666666606 0.0175 0.0781 1033.11 4.4534 352.89 0 0.0 0 0.0 0 0.6466149332701007 0.6525288110080576 0.6544051701153984 0.6836873270406678
foca_c7473_g1_i1 foca 1428 1262.42 1244 247.048 1,1378 1,1378 85,1464 85,1464 0 0.08634661514029097 83.99999999999999 1108.1666666666674 236.0 268.8333333333327 0.0251 0.067 1026.4 2.6673 350.6 0 0.0 0 0.7199259030813792 0 0.7260867278274541 0.7285523515800246 0.7421048980880087 0.7730711015409643
raik_c22817_g1_i1 raik 1475 1297.05 2971 2838.17 147,960,961,1450 147,960 158,971,972,1461 158,971 1 0.09365990081882077 88.99999999999999 1046.5000000000014 231.99999999999997 255.49999999999872 0.021 0.0766 970.49 3.6475 331.51 0 0.6082088523862165 0 0.6936212201926908 0 0.7615270467049677 0.6719667952498921 0.6788918972560378 0.7117648740380456
minu_c24234_g1_i1 minu 1485 1296.91 1670 225.88 60,1446 60,1446 76,1464 76,1464 0 0.1047445925543776 105.16666666666666 1112.5000000000007 246.83333333333331 273.4999999999993 0.0028 0.082 1033.11 28.9117 352.89 0 0.6934574734481931 0 0.7052321477337842 0 0.7212922244992648 0.6962837059187111 0.7017263985354014 0.7314005895302538
cras_c6591_g1_i1 cras 1513 1464 2603 432.075 70,1456 70,1456 76,1464 76,1464 0 0.11187426770635493 106.5 1113.0000000000007 233.5 272.99999999999926 0.0313 0.0878 1033.11 2.7998 352.89 0 0.6625212122333202 0 0.6625860838340895 0 0.6874484724369777 0.6883087210134454 0.6888996192937817 0.7133446992282708
raik_c19189_g3_i1 raik 1040 862.052 2888 4151.04 37,1021 37,1021 37,1034 37,1034 0 0.1318602684730389 89.5 771.3333333333336 184.5 209.6666666666664 0.0242 0.0981 731.23 4.0573 249.77 0 0.0 0 0.0 0 0.7601027810978561 0.6714824501953675 0.6786757398984166 0.7091631759375572
cras_c6072_g1_i1 cras 1021 972 1600 400.018 25,988 25,988 43,1034 43,1034 0 0.1506363404037821 96.0 758.3333333333335 172.0 204.6666666666665 0.0623 0.1259 717.81 2.0205 245.19 0 0.6416689926875214 0 0.6440395561880256 0 0.6771377756854143 0.6554817623543775 0.6637697957014577 0.697063833754109
harp_c36859_g2_i1 harp 1003 819.801 393 1406.4 0,972 0,972 49,1034 49,1034 0 0.11812159606972168 76.5 763.8333333333336 176.5 208.16666666666637 0.0382 0.0898 724.52 2.352 247.48 0 0.7411463570772163 0 0.7333418932649538 0 0.7571435772055474 0.5618583676036715 0.5617976154521527 0.5971289367407007
octo_c34437_g1_i1 octo 1032 866.211 2985 1726.48 23,1004 23,1004 40,1034 40,1034 0 0.1318602684730389 89.5 771.3333333333336 184.5 209.6666666666664 0.0242 0.0981 731.23 4.0573 249.77 0 0.0 0 0.5892164039768607 0 0.6432706956555757 0.681321191888069 0.6901228210114542 0.7232939861467829
petz_comp27852_c0_seq1 petz     12,648 12,648 12,669 12,669 0 0.15232358003442376 59.0 497.9999999999998 105.0 135.00000000000026 0.0651 0.1194 471.83 1.8347 161.17       0.76571888775597 0.7687206675637593 0.7869158511808734
octo_c18732_g1_i1 octo 660 494.211 27562 27940.9 0,612 0,612 45,669 45,669 0 0.09455909943714855 36.0 478.333333333333 104.0 130.66666666666703 0.0385 0.07 453.94 1.8179 155.06 1 0.7150428134665496 1 0.6697409588511695 1 0.6805058689236669 0.7557894142302419 0.759937647010584 0.7830614587632123
rari_c7197_g1_i1 rari 718 518.162 7737 4703.03 2,635 2,635 20,669 20,669 0 0.11051964059234412 42.166666666666664 489.4999999999997 104.83333333333334 134.50000000000028 0.0433 0.0788 465.12 1.8216 158.88 0 0.6390286371326781 0 0.6281040776991382 1 0.6754541993530201 0.7076965716538421 0.7056079069818659 0.7271495223826889
