idr note accession minu foca cras octo rari raik eury petz harp sum
Homo_sapiens genome human 1.109014186051443 0.5888406128515893 0.08218615163344976 2.312868767112722 1.0207379477511447 0.4505877968628248 5.901728596706138 1.787600337980566 0.07765366465563586 13.331218061605513
Chlorella_sp RNAseq GAPD01.1,GDKF01.1,GGGA01.1 1.2213999448673636 1.1691058769723301 0.08218615163344976 4.421348964559793 0.7594936708860759 0.2540908628925704 0.10344358241459099 0.15050697084917616 0.13141389403261453 8.292989919107965
Chlamydomonas_sp  GCA_001662365.1_Cap_assembly01_genomic,GCA_001662385.1_Cas_assembly01_genomic,GCA_004335895.1_ASM433589v1_genomic,GCA_013435795.1_ASM1343579v1_genomic 1.3316652176678896 1.2634347130116625 0.18198362147406735 2.1441517874358875 0.9076218691085375 0.1880272385405021 0.1143323805634953 0.4884875369666244 0.10154709993429306 6.72125146470296
Dunaliella_salina  genomeunplaced.scaf 3.5708984499247225 0.7632060370455065 0.03815785611553025 0.3528595117812657 1.1500134661998385 0.028796964461157978 0.010888798148904314 0.11354034643008028 0.02190231567210242 6.05026374577911
Chlorella_sorokinana  GCA_002245835.2_Chlorella_sorokiniana_2.0_genomic,GCA_002939045.1_CSI_1228_genomic,GCA_003116155.1_ASM311615v1_genomic 0.9669416230199962 1.0061742510862108 0.21133581848601368 1.0209787513015312 0.5628871532453542 0.19988481214215534 0.10344358241459099 0.49640895648500216 0.10752045875395735 4.675575406934811
Zea_mays   0.8036641998346021 1.2205579693574207 0.22601191699198686 0.37310554934248585 0.42822515486129814 0.2473151065487685 0.20960936436640806 0.5703422053231939 0.15331620970471696 4.232147676330881
Chlamydomonas_sp RNAseq GAIE01.1,GBAH01.1,GFWA01.1 0.8651582942810493 0.7574891378916075 0.11153834864539611 1.091357834252439 0.6221384325343389 0.10163634515702816 0.06805498843065197 0.28781157583438954 0.06570694701630726 3.970891904043208
Oryza_sativa   0.5428444199410505 0.8775440201234851 0.13795532595614782 0.25548571208206394 0.29894963641260436 0.17278178676694786 0.13338777732407786 0.43831854668356574 0.14136949206538837 2.9986367173553314
Phytophtora_infestans  GCA_001661535.1_ASM166153v1_genomic,GCA_011316315.1_Uand_Pinf_RC1-10.1_genomic,GCA_012295175.1_ASM1229517v1_genomic,GCA_012552325.1_ASM1255232v1_genomic 0.3095909582476304 0.7689229361994054 0.13795532595614782 0.27669584667000885 0.18852679773767841 0.5335908120743977 0.07894378657955628 0.472644697929869 0.09557374111462875 2.862444902509323
Coccomyxa_subellipsoidea  GCA_000258705.1_Coccomyxa_subellipsoidae_v2.0_genomic,GCF_000258705.1_Coccomyxa_subellipsoidae_v2.0_genomic 0.31807290230920926 0.37731534415732904 0.06457483342628197 0.3625004820485134 0.21545919741448963 0.11179997967273098 0.0381107935211651 0.2217997465145754 0.03584015291798578 1.7454734319822804
Phytophtora_sojae  GCA_009848525.1_Psojae2019.1_genomic 0.21628957357026232 0.4230505373885205 0.06457483342628197 0.196675793451853 0.11311607864260705 0.29813327912728255 0.0381107935211651 0.2376425855513308 0.09557374111462875 1.6831672157939321
Mus_musculus  GCF_000001635.26_GRCm38.p6_genomic 0.0975423567081575 0.10290418477018067 0.014676098505973172 0.2911573020708804 0.08887691893347698 0.12535149236033472 0.729549475976589 0.13202365863962823 0.01792007645899289 1.6000015644242134
Coccomyxa_sp  GCA_001244535.1_ASM124453v1_genomic 0.2693017239551305 0.36873999542648067 0.08218615163344976 0.26705487640276115 0.1750605978992728 0.083003015211573 0.04627739213284334 0.2508449514152936 0.04579575095075961 1.5882644550275649
Drosophila_virilis  GCA_003285735.2_DvirRS2_genomic,GCF_003285735.1_DvirRS2_genomic 0.18872325537013082 0.39160759204207635 0.061639613725087326 0.11954803131387143 0.08887691893347698 0.18633329945455163 0.06533278889342589 0.36702577101816647 0.04977799016386914 1.5188652609146558
Dunaliella_sp RNA_seq GHDG01.1 0.436820119171314 0.3372970500800366 0.06457483342628197 0.17739385291735763 0.3097225962833288 0.032184842633058916 0.016333197223356473 0.12146176594845796 0.02190231567210242 1.5176905733552948
Dunaliella_sp  GCA_004335685.1_ASM433568v1_genomic 0.436820119171314 0.3372970500800366 0.06457483342628197 0.17739385291735763 0.3097225962833288 0.032184842633058916 0.016333197223356473 0.12146176594845796 0.02190231567210242 1.5176905733552948
Monoraphidium_neglectum  genomechrCP 0.2777836680167094 0.3287217013491882 0.04696351521911415 0.2853727199105318 0.2127659574468085 0.052512111664464546 0.02449979583503471 0.12410223912125054 0.02389343527865719 1.376615143841759
Gallus_gallus chicken GCA_000002315.5_GRCg6a_genomic 0.07633749655421022 0.1000457351932312 0.014676098505973172 0.07712776213798157 0.05655803932130352 0.6724938171223362 0.13610997686130394 0.11618081960287283 0.015928956852438125 1.2654587021516508
Aegilops_tauschii  GCA_001957025.1_Aet_MR_1.0_genomic 0.23749443372420959 0.3144294534644409 0.06751005312747659 0.13400948671474297 0.15890115809318608 0.09147271064132534 0.051721791207295496 0.13994507815800591 0.057742468590088206 1.2532266337207711
Monoraphidium_sp  GCA_002814315.1_ASM281431v1_genomic 0.2459763777857885 0.2229590670020581 0.04696351521911415 0.2497011299217153 0.15890115809318608 0.032184842633058916 0.03538859398393902 0.12410223912125054 0.02787567449176672 1.1440525982518774
Volvox   0.21628957357026232 0.21724216784815917 0.04989873492030879 0.3036905634183024 0.12927551844869378 0.03557272080495986 0.021777596297808628 0.1188212927756654 0.02389343527865719 1.1164616033628176
Salmo_salar Atlantic_salmon GCA_000233375.4_ICSASG_v2_genomic 0.11662673084671007 0.20580836954036133 0.055769174322698054 0.1108711580733485 0.0781039590627525 0.08469695429752346 0.13338777732407786 0.12146176594845796 0.033849033311431014 0.9405749227273607
Brassica_oleracea  GCA_000695525.1_BOL_genomic 0.1653979092007888 0.18579922250171507 0.07044527282867122 0.07230727700435771 0.09695663883652034 0.09655452789917675 0.051721791207295496 0.13202365863962823 0.06172470780319774 0.9329310059213511
Saprolegnia_parasitica  genomechrMT.unlocalized.scaf 0.08693992663118387 0.2372513148868054 0.04989873492030879 0.07519956808453203 0.04039859951521681 0.14398482230578988 0.02449979583503471 0.13202365863962823 0.05575134898353344 0.8459477698020331
Chlorella_vulgaris  GCA_009720205.1_ASM972020v1_genomic 0.1569159651392099 0.14863937800137206 0.03228741671314098 0.20438856966565117 0.1050363587395637 0.03557272080495986 0.010888798148904314 0.1108998732572877 0.01792007645899289 0.8225491569290826
Caenorhabditis_remanei nematodes GCA_000149515.1_ASM14951v1_genomic 0.13995207701605208 0.17150697461696776 0.058704394023892686 0.05109714241641279 0.08349043899811473 0.052512111664464546 0.04899959167006942 0.13994507815800591 0.06769806662286203 0.813905875186842
Gekko_japonicus  GCA_001447785.1_V1.1_genomic 0.07633749655421022 0.1314886805396753 0.014676098505973172 0.09062512051212834 0.059251279288984646 0.14737270047769083 0.15516537362188648 0.1188212927756654 0.01393783724588336 0.8076758795220979
Olea_europaea  GCA_002742605.1_v1_genomic 0.1547954791238152 0.16293162588611937 0.055769174322698054 0.0665226948440091 0.09426339886883921 0.05081817257851408 0.04899959167006942 0.12674271229404308 0.02389343527865719 0.7847362848667646
Asparagus_officinalis  GCA_001876935.1_Aspof.V1_genomic 0.13783159100065737 0.19723302080951294 0.058704394023892686 0.07037908295090818 0.07271747912739025 0.049124233492563604 0.04083299305839118 0.12410223912125054 0.03185791370487625 0.782782947289443
Aedes_albopictus Asian_tiger_mosquito GCA_006496715.1_Aalbo_primary.1_genomic 0.11662673084671007 0.2000914703864624 0.023481757609557074 0.06459450079055956 0.07541071909507137 0.07622725886777111 0.04899959167006942 0.13202365863962823 0.04181351173765008 0.7792691996434793
Capsaspora_owczarzaki  unplaced.scaf 0.11450624483131534 0.21438371827120967 0.029352197011946343 0.09544560564575219 0.05386479935362241 0.06945150252396924 0.016333197223356473 0.11354034643008028 0.02787567449176672 0.7347532857830187
Acanthamoeba_castellanii  GCA_000826485.1_genomic 0.09330138467736805 0.1743654241939172 0.03522263641433561 0.10990706104662375 0.037705359547535684 0.07622725886777111 0.032666394446712946 0.11354034643008028 0.033849033311431014 0.7067848989357756
Chlamydomonas_eustigma  GCA_002335675.1_C.eustigma_genome_v1.0_genomic 0.125108674908289 0.13434713011662475 0.03522263641433561 0.11376344915352281 0.08079719903043361 0.03049090354710845 0.013610997686130393 0.1108998732572877 0.011946717639328594 0.6561875817530609
Nematostella_vectensis starlet_sea_anemone GCA_000209225.1_ASM20922v1_genomic 0.06149409444644713 0.1314886805396753 0.05283395462150342 0.04724075430951371 0.05655803932130352 0.03726665989091032 0.03538859398393902 0.12938318546683567 0.02389343527865719 0.5755473978587853
Ixodes_scapularis black-legged_tick GCA_002892825.2_ISE6_asm2.2_deduplicated_genomic 0.07845798256960496 0.1229133318088269 0.014676098505973172 0.06170220971038526 0.04309183948289793 0.0440424162347122 0.04899959167006942 0.11354034643008028 0.03185791370487625 0.5592817301174263
Lasiodiplodia_pseudotheobromae ascomycetes GCA_009829805.1_ASM982980v1_genomic 0.06997603850802604 0.11147953350102904 0.04109307581672488 0.060738112683660486 0.04309183948289793 0.05928786800826642 0.013610997686130393 0.11354034643008028 0.01792007645899289 0.5307378885758083
Aspergillus_heteromorphus  GCF_003184545.1_Asphet1_genomic 0.04877117835407875 0.1286302309627258 0.04109307581672488 0.03856388106899079 0.04309183948289793 0.06945150252396924 0.016333197223356473 0.11354034643008028 0.02190231567210242 0.5213775675349265
Fusarium_graminearum_PH-1 ascomycetes GCA_000240135.3_ASM24013v3_genomic 0.059373608431052396 0.11719643265492798 0.04109307581672488 0.04627665728278894 0.037705359547535684 0.06436968526611783 0.008166598611678236 0.11618081960287283 0.01393783724588336 0.5043000744595821
Ogataea_polymorpha budding_yeasts GCA_001664045.1_Hanpo2_genomic 0.040289234292499844 0.08003658815458495 0.06457483342628197 0.02313832864139447 0.045785079450579046 0.054206050750415014 0.027221995372260787 0.11618081960287283 0.033849033311431014 0.4852819630023199
Cercospora_beticola ascomycetes GCA_003370525.1_ASM337052v1_genomic 0.040289234292499844 0.07717813857763549 0.03815785611553025 0.03374339593536694 0.032318879612173446 0.0660636243520683 0.016333197223356473 0.11354034643008028 0.02190231567210242 0.43952698821081343
Strogniloides   0.019084374138552556 0.06860278984678711 0.02641697731075171 0.01638964945432108 0.010772959870724482 0.03387878171900938 0.016333197223356473 0.2376425855513308 0.007964478426219062 0.43708579354105265
