filename	len	cols_conservative	cols_nongap	sp_idrs	sp_ats	sp_nongap	sp_atcomp
cras_c3754_g1_i1++.fasta	7	176	307	eury_eury_c19129_g1_i1,foca_c32256_g1_i1,octo_c70426_g1_i1,cras_c3754_g1_i1++,minu_c34451_g1_i1,harp_c1457_g1_i1,rari_c876_g1_i1	280,223,261,216,197,198,205	469,341,402,337,329,335,333	0.597014925373,0.653958944282,0.649253731343,0.640949554896,0.598784194529,0.591044776119,0.615615615616
eury_eury_c9426_g1_i1.fasta	7	394	672	octo_c19316_g1_i1,petz_comp28290_c0_seq1,minu_c13297_g1_i1,eury_eury_c9426_g1_i1,foca_c10073_g1_i1,rari_c9086_g1_i1,harp_c11773_g1_i1	462,447,410,435,529,418,419	691,730,705,729,783,711,766	0.668596237337,0.612328767123,0.581560283688,0.59670781893,0.675606641124,0.587904360056,0.546997389034
cras_c1280_g1_i1++.fasta	7	361	678	harp_c14199_g1_i1,petz_comp27888_c0_seq1,rari_c8620_g1_i1,foca_c30092_g1_i1,cras_c1280_g1_i1++,octo_c45647_g1_i1,minu_c36868_g1_i1	408,482,416,495,471,518,486	733,779,747,787,777,790,794	0.556616643929,0.618741976893,0.556894243641,0.628970775095,0.606177606178,0.655696202532,0.612090680101
eury_eury_c9177_g1_i1.fasta	6	269	436	rari_c8891_g1_i1,harp_c14794_g2_i1,petz_comp28847_c0_seq1,eury_eury_c9177_g1_i1,raik_c13020_g1_i1,octo_c34495_g1_i1	294,218,334,345,329,369	550,436,553,570,534,558	0.534545454545,0.5,0.603978300181,0.605263157895,0.616104868914,0.661290322581
cras_c5677_g1_i1++.fasta	6	404	690	harp_c6007_g1_i1,rari_c6594_g1_i1,foca_c29653_g1_i1,cras_c5677_g1_i1++,minu_c12988_g1_i1,octo_c83021_g1_i1	393,411,462,439,436,456	753,742,758,761,745,724	0.521912350598,0.553908355795,0.609498680739,0.576872536137,0.585234899329,0.629834254144
cras_c1667_g1_i1++.fasta	7	145	432	harp_c25613_g1_i1,rari_c3652_g1_i1,raik_c10006_g1_i1,eury_eury_c5836_g1_i1,cras_c1667_g1_i1++,foca_c30119_g1_i1,octo_c58322_g1_i1	323,321,343,349,335,374,393	606,571,598,601,576,609,617	0.53300330033,0.562171628722,0.573578595318,0.580698835275,0.581597222222,0.614121510673,0.636952998379
harp_c18311_g2_i1.fasta	2	534	695	octo_c8155_g1_i1,harp_c18311_g2_i1	445,459	727,924	0.612104539202,0.496753246753
eury_eury_c417_g1_i1.fasta	6	147	425	octo_c9978_g1_i1,eury_eury_c417_g1_i1,harp_c25355_g1_i1,foca_c30040_g1_i1,minu_c7966_g1_i1,rari_c2239_g1_i1	348,316,287,321,364,313	559,571,523,529,597,569	0.622540250447,0.553415061296,0.548757170172,0.606805293006,0.609715242881,0.550087873462
cras_c4545_g1_i1++.fasta	8	279	497	cras_c4545_g1_i1++,harp_c18706_g1_i1,minu_c33588_g1_i1,petz_comp28104_c0_seq1,rari_c5103_g1_i1,eury_eury_c10472_g1_i1,foca_c32032_g1_i1,octo_c20016_g1_i1	356,294,370,334,318,312,370,370	574,515,588,545,557,536,556,541	0.620209059233,0.570873786408,0.62925170068,0.612844036697,0.57091561939,0.582089552239,0.665467625899,0.683918669131
harp_c19252_g1_i1.fasta	2	1281	1722	harp_c19252_g1_i1,octo_c23044_g1_i1	926,1208	1745,1854	0.530659025788,0.651564185545
harp_c20201_g2_i1.fasta	2	387	508	octo_c7455_g2_i1,harp_c20201_g2_i1	312,338	511,615	0.610567514677,0.549593495935
eury_eury_c21060_g1_i1.fasta	4	471	741	harp_c20328_g1_i1,eury_eury_c21060_g1_i1,octo_c50443_g1_i1,rari_c9827_g1_i1	407,488,522,421	749,810,790,774	0.543391188251,0.602469135802,0.660759493671,0.543927648579
cras_c6294_g1_i1++.fasta	8	407	671	minu_c21536_g1_i1,petz_comp28053_c0_seq1,eury_eury_c2879_g1_i1,harp_c21348_g1_i1,foca_c4451_g1_i2,cras_c6294_g1_i1++,octo_c58805_g1_i1,rari_c6399_g1_i1	432,436,402,408,437,415,467,371	756,745,739,749,725,714,737,723	0.571428571429,0.585234899329,0.54397834912,0.544726301736,0.60275862069,0.581232492997,0.633649932157,0.513139695712
