filename	len	cols_conservative	cols_nongap	sp_idrs	sp_ats	sp_nongap	sp_atcomp
cras_c3754_g1_i1++.fasta	2	267	331	foca_c32256_g1_i1,eury_eury_c19129_g1_i1	223,280	341,469	0.653958944282,0.597014925373
cras_c3754_g1_i1++.fasta	2	279	390	octo_c70426_g1_i1,eury_eury_c19129_g1_i1	261,280	402,469	0.649253731343,0.597014925373
cras_c3754_g1_i1++.fasta	2	257	333	cras_c3754_g1_i1++,eury_eury_c19129_g1_i1	216,280	337,469	0.640949554896,0.597014925373
cras_c3754_g1_i1++.fasta	2	246	322	minu_c34451_g1_i1,eury_eury_c19129_g1_i1	197,280	329,469	0.598784194529,0.597014925373
cras_c3754_g1_i1++.fasta	2	255	327	harp_c1457_g1_i1,eury_eury_c19129_g1_i1	198,280	335,469	0.591044776119,0.597014925373
cras_c3754_g1_i1++.fasta	2	288	333	rari_c876_g1_i1,eury_eury_c19129_g1_i1	205,280	333,469	0.615615615616,0.597014925373
cras_c3754_g1_i1++.fasta	2	256	333	foca_c32256_g1_i1,octo_c70426_g1_i1	223,261	341,402	0.653958944282,0.649253731343
cras_c3754_g1_i1++.fasta	2	257	323	cras_c3754_g1_i1++,foca_c32256_g1_i1	216,223	337,341	0.640949554896,0.653958944282
cras_c3754_g1_i1++.fasta	2	266	328	minu_c34451_g1_i1,foca_c32256_g1_i1	197,223	329,341	0.598784194529,0.653958944282
cras_c3754_g1_i1++.fasta	2	235	317	foca_c32256_g1_i1,harp_c1457_g1_i1	223,198	341,335	0.653958944282,0.591044776119
cras_c3754_g1_i1++.fasta	2	280	328	foca_c32256_g1_i1,rari_c876_g1_i1	223,205	341,333	0.653958944282,0.615615615616
cras_c3754_g1_i1++.fasta	2	250	330	cras_c3754_g1_i1++,octo_c70426_g1_i1	216,261	337,402	0.640949554896,0.649253731343
cras_c3754_g1_i1++.fasta	2	245	326	minu_c34451_g1_i1,octo_c70426_g1_i1	197,261	329,402	0.598784194529,0.649253731343
cras_c3754_g1_i1++.fasta	2	256	324	octo_c70426_g1_i1,harp_c1457_g1_i1	261,198	402,335	0.649253731343,0.591044776119
cras_c3754_g1_i1++.fasta	2	269	328	rari_c876_g1_i1,octo_c70426_g1_i1	205,261	333,402	0.615615615616,0.649253731343
cras_c3754_g1_i1++.fasta	2	271	320	cras_c3754_g1_i1++,minu_c34451_g1_i1	216,197	337,329	0.640949554896,0.598784194529
cras_c3754_g1_i1++.fasta	2	245	328	cras_c3754_g1_i1++,harp_c1457_g1_i1	216,198	337,335	0.640949554896,0.591044776119
cras_c3754_g1_i1++.fasta	2	267	325	cras_c3754_g1_i1++,rari_c876_g1_i1	216,205	337,333	0.640949554896,0.615615615616
cras_c3754_g1_i1++.fasta	2	236	313	minu_c34451_g1_i1,harp_c1457_g1_i1	197,198	329,335	0.598784194529,0.591044776119
cras_c3754_g1_i1++.fasta	2	264	319	minu_c34451_g1_i1,rari_c876_g1_i1	197,205	329,333	0.598784194529,0.615615615616
cras_c3754_g1_i1++.fasta	2	262	321	rari_c876_g1_i1,harp_c1457_g1_i1	205,198	333,335	0.615615615616,0.591044776119
eury_eury_c9426_g1_i1.fasta	2	544	686	octo_c19316_g1_i1,petz_comp28290_c0_seq1	462,447	691,730	0.668596237337,0.612328767123
eury_eury_c9426_g1_i1.fasta	2	512	676	octo_c19316_g1_i1,minu_c13297_g1_i1	462,410	691,705	0.668596237337,0.581560283688
eury_eury_c9426_g1_i1.fasta	2	539	687	octo_c19316_g1_i1,eury_eury_c9426_g1_i1	462,435	691,729	0.668596237337,0.59670781893
eury_eury_c9426_g1_i1.fasta	2	541	689	octo_c19316_g1_i1,foca_c10073_g1_i1	462,529	691,783	0.668596237337,0.675606641124
eury_eury_c9426_g1_i1.fasta	2	531	684	octo_c19316_g1_i1,rari_c9086_g1_i1	462,418	691,711	0.668596237337,0.587904360056
eury_eury_c9426_g1_i1.fasta	2	548	688	octo_c19316_g1_i1,harp_c11773_g1_i1	462,419	691,766	0.668596237337,0.546997389034
eury_eury_c9426_g1_i1.fasta	2	529	698	minu_c13297_g1_i1,petz_comp28290_c0_seq1	410,447	705,730	0.581560283688,0.612328767123
eury_eury_c9426_g1_i1.fasta	2	551	716	eury_eury_c9426_g1_i1,petz_comp28290_c0_seq1	435,447	729,730	0.59670781893,0.612328767123
eury_eury_c9426_g1_i1.fasta	2	548	723	foca_c10073_g1_i1,petz_comp28290_c0_seq1	529,447	783,730	0.675606641124,0.612328767123
eury_eury_c9426_g1_i1.fasta	2	539	707	rari_c9086_g1_i1,petz_comp28290_c0_seq1	418,447	711,730	0.587904360056,0.612328767123
eury_eury_c9426_g1_i1.fasta	2	554	710	harp_c11773_g1_i1,petz_comp28290_c0_seq1	419,447	766,730	0.546997389034,0.612328767123
eury_eury_c9426_g1_i1.fasta	2	543	703	minu_c13297_g1_i1,eury_eury_c9426_g1_i1	410,435	705,729	0.581560283688,0.59670781893
eury_eury_c9426_g1_i1.fasta	2	551	705	minu_c13297_g1_i1,foca_c10073_g1_i1	410,529	705,783	0.581560283688,0.675606641124
eury_eury_c9426_g1_i1.fasta	2	517	698	minu_c13297_g1_i1,rari_c9086_g1_i1	410,418	705,711	0.581560283688,0.587904360056
eury_eury_c9426_g1_i1.fasta	2	525	688	minu_c13297_g1_i1,harp_c11773_g1_i1	410,419	705,766	0.581560283688,0.546997389034
eury_eury_c9426_g1_i1.fasta	2	567	728	eury_eury_c9426_g1_i1,foca_c10073_g1_i1	435,529	729,783	0.59670781893,0.675606641124
eury_eury_c9426_g1_i1.fasta	2	552	706	rari_c9086_g1_i1,eury_eury_c9426_g1_i1	418,435	711,729	0.587904360056,0.59670781893
eury_eury_c9426_g1_i1.fasta	2	545	711	eury_eury_c9426_g1_i1,harp_c11773_g1_i1	435,419	729,766	0.59670781893,0.546997389034
eury_eury_c9426_g1_i1.fasta	2	560	709	rari_c9086_g1_i1,foca_c10073_g1_i1	418,529	711,783	0.587904360056,0.675606641124
eury_eury_c9426_g1_i1.fasta	2	534	712	harp_c11773_g1_i1,foca_c10073_g1_i1	419,529	766,783	0.546997389034,0.675606641124
eury_eury_c9426_g1_i1.fasta	2	542	698	rari_c9086_g1_i1,harp_c11773_g1_i1	418,419	711,766	0.587904360056,0.546997389034
cras_c1280_g1_i1++.fasta	2	509	700	harp_c14199_g1_i1,petz_comp27888_c0_seq1	408,482	733,779	0.556616643929,0.618741976893
cras_c1280_g1_i1++.fasta	2	534	702	harp_c14199_g1_i1,rari_c8620_g1_i1	408,416	733,747	0.556616643929,0.556894243641
cras_c1280_g1_i1++.fasta	2	518	719	harp_c14199_g1_i1,foca_c30092_g1_i1	408,495	733,787	0.556616643929,0.628970775095
cras_c1280_g1_i1++.fasta	2	527	713	harp_c14199_g1_i1,cras_c1280_g1_i1++	408,471	733,777	0.556616643929,0.606177606178
cras_c1280_g1_i1++.fasta	2	536	723	harp_c14199_g1_i1,octo_c45647_g1_i1	408,518	733,790	0.556616643929,0.655696202532
